Frame,uiPartAddr,CU_X,CU_Y,CU_Height,CU_Width,MV_X,MV_Y
2,0,616,56,8,8,0,0
2,0,624,48,16,16,0,0
2,0,640,0,64,64,0,0
2,0,704,0,64,64,0,0
2,0,768,0,64,64,1,-1
2,0,0,64,64,64,1,-1
2,0,64,64,32,32,1,-1
2,0,96,64,16,16,1,-1
2,0,112,64,8,4,1,-1
2,1,112,64,8,4,0,-1
2,0,120,64,8,8,1,-1
2,0,112,72,8,8,1,-1
2,0,120,72,8,8,0,-1
2,0,96,80,16,16,1,-1
2,0,112,80,8,8,1,-1
2,0,120,80,4,8,0,-2
2,2,120,80,4,8,1,-1
2,0,112,88,8,8,1,-1
2,0,120,88,8,8,1,-1
2,0,64,96,32,32,1,-1
2,0,96,96,32,32,1,-1
2,0,128,64,32,32,1,-1
2,0,160,64,8,8,1,1
2,0,168,64,8,8,1,1
2,0,160,72,8,8,1,-1
2,0,168,72,8,8,1,-1
2,0,176,64,8,8,1,1
2,0,184,64,8,8,1,1
2,0,176,72,8,8,1,-1
2,0,184,72,8,8,1,1
2,0,160,80,16,16,1,-1
2,0,176,80,16,16,1,-1
2,0,128,96,32,32,1,-1
2,0,160,96,32,32,1,-1
2,0,192,64,32,32,1,-1
2,0,224,64,32,32,1,-1
2,0,192,96,32,24,1,-1
2,20,192,96,32,8,0,-1
2,0,224,96,32,32,0,-1
2,0,256,64,64,64,0,0
2,0,320,64,64,64,0,0
2,0,384,64,32,32,0,0
2,0,416,64,32,16,0,0
2,16,416,64,32,16,1,-1
2,0,384,96,32,32,0,0
2,0,416,96,32,32,0,0
2,0,448,64,64,64,1,0
2,0,512,64,32,32,0,0
2,0,544,64,32,16,-39,14
2,16,544,64,32,16,-36,10
2,0,512,96,16,32,0,0
2,32,512,96,16,32,-50,-3
2,0,544,96,16,16,-45,-38
2,0,560,96,8,8,-36,10
2,0,568,96,8,8,-33,10
2,0,560,104,8,8,-33,10
2,0,568,104,8,8,-27,10
2,0,544,112,16,16,-26,0
2,0,560,112,8,8,-26,0
2,0,568,112,4,8,-24,10
2,2,568,112,4,8,-21,10
2,0,560,120,8,8,-26,0
2,0,576,64,32,16,-36,10
2,16,576,64,32,16,-37,14
2,0,608,64,16,16,-34,14
2,0,624,64,8,8,0,0
2,0,632,64,8,8,0,0
2,0,624,72,8,8,-34,21
2,0,632,72,8,8,-34,21
2,0,608,80,16,16,-39,18
2,0,624,80,4,16,-34,14
2,2,624,80,12,16,0,-1
2,0,576,96,4,16,-36,10
2,2,576,96,12,16,-27,10
2,0,592,96,16,16,-37,14
2,0,576,112,8,16,-22,1
2,8,576,112,8,16,-16,-3
2,0,592,112,16,16,0,0
2,0,608,96,32,32,0,0
2,0,640,64,64,64,0,0
2,0,704,64,64,64,1,-1
2,0,768,64,64,64,1,0
2,0,0,128,64,64,1,-1
2,0,64,128,32,32,1,-1
2,0,96,128,32,32,1,-1
2,0,64,160,16,16,1,-1
2,0,80,160,16,16,1,-1
2,0,64,176,16,16,1,-1
2,0,80,176,16,4,1,-1
2,1,80,176,16,12,-1,-2
2,0,96,160,16,16,1,-1
2,0,112,160,16,16,1,-1
2,0,96,176,8,16,-1,-5
2,8,96,176,8,16,-1,-2
2,0,112,176,16,16,-1,-6
2,0,128,128,16,32,1,-1
2,32,128,128,16,32,1,0
2,0,160,128,32,32,1,-1
2,0,128,160,16,16,1,-1
2,0,144,160,16,16,1,0
2,0,128,176,16,16,-1,-9
2,0,144,176,8,8,1,0
2,0,152,176,8,8,1,0
2,0,144,184,8,8,-1,-9
2,0,152,184,8,8,1,0
2,0,160,160,32,32,1,-1
2,0,192,128,8,8,0,0
2,0,200,128,8,8,0,-1
2,0,192,136,8,8,1,-1
2,0,200,136,4,8,0,-1
2,2,200,136,4,8,1,-1
2,0,208,128,16,8,1,-1
2,4,208,128,16,8,0,-1
2,0,192,144,16,16,1,-1
2,0,208,144,16,4,1,-1
2,1,208,144,16,12,0,0
2,0,224,128,32,32,0,0
2,0,192,160,32,32,1,-1
2,0,224,160,32,32,0,0
2,0,256,128,64,64,0,0
2,0,320,128,32,32,0,0
2,0,352,128,16,16,0,0
2,0,368,128,16,16,0,0
2,0,352,144,8,16,0,0
2,8,352,144,8,16,-21,20
2,0,368,144,4,16,0,0
2,2,368,144,12,16,-21,20
